General Features;Version;Last Release Date;Author;URL;Free and Open Source;License;Programming Language;Data Storage;License Cost/ Fee;Development status;Intended Audience;Hosting Features;Storage Quota;Bandwidth Quota;Other Limits;Topic Restrictions;Corporate Branding;Own Domain;Ads allowed;System Requirements;Operating System;Root Access;Webserver;Other Requirements;Datastorage;Text Files;MySQL;PostgreSQL;Oracle;SQLite;BerkeleyDB;RCS;Other;Security/Anti-Spam;Page Permissions;ACL;Authentication Backends;Host Blocking;Mail Encryption;nofollow;Blacklist;CAPTCHA;Delayed Indexing;Development/Support;Commercial Support;Preconfigured Hosting;Code Repository;Issue Tracker;Mailing List;Support Forum;IRC Channel;Common Features;Preview;Minor Changes;Change Summary;Page History;Page Revisions;Revision Diffs;Page Index;Plugin System;Special Features;Unicode Support;Right-to-Left Support;Interface Languages;;Email notification;Comments;Categories;Namespaces;Page Redirection;Conflict Handling;Search;Wiki Farming;Structured Data;Links;CamelCase;Freelinks;Backlinks;InterWiki;SisterWiki;Image Links;Windows Shares;Page Redirects;Syntax Features;HTML Tags;Math formulas;Tables;CREOLE support;Markdown Support;Textile Support;BBCode Support;Emoticon Images;Syntax Highlighting;Footnotes;Quoting;Internal Comments;Custom styles;FAQ Tags;Scripting;Content Includes;Feed Aggregation;Usability;Section Editing;Page Templates;Double-Click Edit;Toolbar;WYSIWYG Editing;Access Keys;Auto Signature;Statistics;Recent Changes;Wanted Pages;Orphaned Pages;Most/Least Popular;Recent Visitors;Analysis;Output;HTML;CSS Stylesheets;Printer Friendly;Mobile Friendly;Themes & Skins;RSS Feeds;ATOM Feeds;Abbreviations;Auto-TOC;Raw Export;HTML Export;XML export;PDF Export;Media and Files;File Attachments;Media Revisions;Embedded Flash;Embedded Video;Image Editing;SVG Editing;MindMap Editing;Media Search;Extras;Calendar;Image Galleries;Forums;Blogs;Ticket System;Syntax Examples;Internal Link;;;;;;External Link;;;;;;;;Headlines;;;;;;;;;;;;;Bold Format;;;;;;Italics Format;;;;;;Underline Format;;;;;;Monospace Format;;;;;;;Strikethrough Format;;;Superscript Format;;;Subscript Format;;;;Images;;;;;;;;;;;;;;;;;;Aligning Text;;;;;;;Text Indentation;;;;Bulleted Lists;;;;;;;;;;Numbered Lists;;;;;;;;;;Definition Lists;;;;;;;Horizontal Rule;;;Try it;;;;;;
OpenWikiNG ;1 alpha Build:20060810.1;38939;The OpenWikiNG Core Team;;Yes;Crediting the original authors;ASP, XML, XSL, CSS;Database;0 USD;Discontinued;Everybody;OpenWikiNG ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;OpenWikiNG ;Windows;No;IIS, PWS;MSXML v3 SP2, VBScript v5.5 or higher;OpenWikiNG ;No;Yes;Yes;Yes;Yes;No;No;SQLServer, Access, FireBird;OpenWikiNG ;Yes;No;Windows;Yes;No;Optional;Yes;Plugin;No;OpenWikiNG ;No;No;sourceforge.net;sourceforge.net;;www.openwiking.com;;OpenWikiNG ;Yes;Yes;Yes;Yes;Restricted by Number;To current;Yes;;OpenWikiNG ;Yes;;Not localized;;No;Flat;No;Yes;Yes;Conflict Detection;Full Text;No;;OpenWikiNG ;Yes;Yes;No;Yes;No;No;Yes;;OpenWikiNG ;Optional;Optional;simple + complex;;No;No;No;Yes;No;Yes;Yes;Yes;Yes;No;Internal macros;Yes;Yes;OpenWikiNG ;No;Yes;Yes;Plugin;No;No;No;OpenWikiNG ;Yes;No;No;No;No;No;OpenWikiNG ;XHTML 1.0 Transitional;Yes;Print View;No;Yes;Yes;No;No;Yes;No;No;Yes;No;OpenWikiNG ;Yes;Yes;Yes;No;No;No;No;Filenames only;OpenWikiNG ;Yes;Yes;No;No;No;OpenWikiNG ;InternalLink;[[Internal link]];;;;;;;;;;;[http://www.openwiking.com];[http://www.openwiking.com OpenWikiNG];;;;;;;= h1 =;== h2 ==;=== h3 ===;==== h4 ====;===== h5 =====;;;;;;;;**bold**;"also supported ""old"" style";'''3 quotes are bold''';;;//italics//;"also supported ""old"" style";''2 quotes are italic'';;;__underline__;;;;monospace;;;;;;;;--strikethrough--;;;;^^Superscript^^;;vvSubscriptvv;;image.gif, image.jpg, image.png;sharedimage:image.gif;sharedimage:image.jpg;sharedimage:image.png;;;;Syntax 1;>=<This paragraph is centered.>=<;<=This paragraph is left-aligned.<=;=>This paragraph is right-aligned=>;;Syntax 2;><( This paragraph is centered./);<-( This paragraph is left-aligned./);->( This paragraph is right-aligned./);<>( This p;;: text indented;;;;;;;;;;;;;;* Bulleted Item;* Another one;* Subbulleted item;* And another one;* Last one;;;;;1. First item;2. Second item;1. First subitem of //second item//;1. Second subitem of //second item//;a. subitem a;a. subitem b;1. Third subitem of //second item//;i. subitem 1;i. subitem 2      ;3. Third;;"; Term One : Definition for One (indented)";"; Term Two : Definition for Two (indented)";"; Term Three : Definition for Three (indented)";"; Term (indented) : Definition (indented two levels)";"; Term (indented twice) : Definition (indented to";;---- single;==== double;;;;;;
PageWork ;0.4.8;40379;Pitt Murmann;pagework.ekkaia.org;Yes;GPLv3;PHP;Files, DB;none;Mature;Medium-sized sites;PageWork ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;PageWork ;Any;No;Any;DBA with bdb or qdbm support;PageWork ;Yes;No;No;No;Patch;Yes;No;;PageWork ;Yes;Yes;Proprietary;No;No;Yes;No;No;Yes;PageWork ;No;Yes;;;;;;PageWork ;Yes;Yes;Yes;Yes;Unlimited;Between all;Yes;Yes;PageWork ;Yes;Optional;2 languages;German, English;No;Discussion Pages;Yes;Yes;Yes;Conflict Detection;Full Text;Yes;Yes;PageWork ;Yes;Yes;Yes;Yes;Optional;Yes;No;Yes;PageWork ;All;Plugin;simple;No;No;No;No;No;Yes;Yes;Yes;Yes;Optional;Plugin;;Yes;Yes;PageWork ;Yes;Yes;No;Yes;No;Yes;No;PageWork ;Yes;Yes;Yes;No;No;No;PageWork ;XHTML 1.0 Strict;Yes;Print View;Optional;Optional;Yes;Yes;Yes;Yes;Plugin;Plugin;No;No;PageWork ;Yes;Yes;Yes;Yes;No;No;No;Keywords;PageWork ;Plugin;Plugin;Plugin;Plugin;Plugin;PageWork ;[[link]];[[link|alternate text]];;;;;;;;;;;http://www.wikimatrix.org/;;;;;;;;= L1 =;== L2 ==;=== L3 ===;==== L4 ====;===== L5 =====;;JaWiki ;== L2;=== L3;==== L4;===== L5;;This is '''bold''' (or rather, strong).;This is **bold**, too.;;;;This is in ''italics'' (or rather, emphasized).;This is in //italics//, too.;;;;This is __underlined__.;;;;This is %%monospaced%%.;;;;;;;;This is --not-- important.;;;;a^^2^^ = b^^2^^ + c^^2^^;;p^^^n^^^ := {x^^^n^^^, y^^^n^^^, y^^^n^^^};;{{image|image_file.suffix}};{{image|image_file.suffix|alternate text}};{{figure|image_file.suffix}};{{figure|image_file.suffix|caption text}};;;;{{p|align:left|text of paragraph}};{{p|align:center|text of paragraph}};{{p|align:right|text of paragraph}};;;;;;;;;> L1 quote;>> L2 quote;;;;;;;;;;;;;* one;* two;** two alpha;** two beta;* three;;;;;# one;# two;## two alpha;## two beta;# three;;;;;;;: term : definition;;;;;;---;;;;;;;
Papyrs ;does not apply;does not apply;Stunf;www.papyrs.com;does not apply;does not apply;does not apply;does not apply;From $49/mo;does not apply;Small & Medium sized businesses;Papyrs ;1,61061E+11;;;;Yes;Yes;;Papyrs ;does not apply;does not apply;does not apply;does not apply;Papyrs ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Papyrs ;Yes;Yes;does not apply;Optional;Optional;Optional;Optional;No;No;Papyrs ;No;does not apply;does not apply;;blog.papyrs.com;www.papyrs.com;;Papyrs ;Yes;No;No;Yes;Unlimited;Between all;Yes;;Papyrs ;Yes;;Not localized;;Yes;Threaded;Yes;Yes;Yes;Page Locking;Full Text;does not apply;Yes;Papyrs ;No;Yes;No;No;No;Yes;No;Yes;Papyrs ;All;Plugin;simple + complex;No;No;No;No;Plugin;Plugin;Yes;No;No;Yes;No;JavaScript;Yes;Yes;Papyrs ;Yes;Yes;No;Yes;Yes;Yes;Optional;Papyrs ;Yes;No;No;No;No;Yes;Papyrs ;;Yes;Print CSS;Yes;Yes;No;No;No;Yes;No;Yes;Optional;Plugin;Papyrs ;Yes;Yes;Yes;Plugin;No;No;No;Contents;Papyrs ;Yes;Yes;Yes;Yes;Yes;Papyrs ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAUX ;1.0;39873;Michael Dreusicke;www.paux.de;No;commercial;Java;Database;free for partners;Mature;Companies, Authorities;PAUX ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;PAUX ;Any Java supporting OS;Yes;own;;PAUX ;Yes;Optional;Yes;Optional;Optional;Optional;Optional;;PAUX ;Yes;;;Yes;Yes;Yes;Yes;Yes;Yes;PAUX ;No;Yes;yes;;;yes;;PAUX ;Yes;Yes;Yes;Yes;Unlimited;Between all;Yes;Yes;PAUX ;Yes;No;3 languages;German, English, French;Yes;Discussion Pages;Yes;Yes;Optional;Conflict Resolution;Full Text;Optional;Yes;PAUX ;Optional;Yes;Yes;Yes;Yes;Yes;Yes;;PAUX ;Optional;Yes;simple + complex;;;;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;JavaScript, NetReXX;Optional;Yes;PAUX ;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PAUX ;Yes;Yes;Yes;Yes;Yes;Yes;PAUX ;XHTML 1.1;Yes;Print CSS;Yes;Yes;Yes;Optional;Optional;Yes;Yes;Yes;Yes;Yes;PAUX ;Yes;Yes;Yes;Yes;No;No;Yes;Contents;PAUX ;Yes;Yes;Yes;Yes;Yes;PAUX ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PBwiki ;does not apply;does not apply;PBworks;pbworks.com;does not apply;does not apply;does not apply;does not apply;Determined by Solution Needs;does not apply;Business Enterprises;PBwiki ;No limit;No limit;None;None;Yes;Yes;Yes;PBwiki ;does not apply;does not apply;does not apply;does not apply;PBwiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;PBwiki ;Yes;Yes;does not apply;Optional;No;No;Optional;No;No;PBwiki ;Yes, 2 listed;does not apply;does not apply;;;getsatisfaction.com;;PBwiki ;Yes;Yes;Yes;Yes;Unlimited;Between all;Yes;Yes;PBwiki ;Yes;Yes;Not localized;;Yes;Threaded;Yes;Yes;Plugin;Page Locking;Full Text;does not apply;Plugin;PBwiki ;Yes;Yes;Yes;Yes;Yes;Yes;Optional;;PBwiki ;All;Yes;simple + complex;No;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Javascript;Plugin;Yes;PBwiki ;Plugin;Yes;No;Yes;Yes;Yes;No;PBwiki ;Yes;Optional;No;Yes;Yes;Optional;PBwiki ;HTML 4;Yes;Print CSS;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PBwiki ;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Contents;PBwiki ;Yes;Yes;Plugin;Optional;Plugin;PBwiki ;CamelCaseLink or [Free Link];;;;;;;;;;;;[http://www.externallink.com];;;;;;;;! Level 1;!! Level 2;!!! Level 3;!!!! Level 4;!!!!! Level 5;!!!!!! Level 6;;;;;;;**bold**;;;;;''italics'';;;;;__underline__;;;;<code>monospace</code>;;;;;;;;-strikethrough-;;;;<sup>superscript</sup>;;<sub>subscript</sub>;;[http://www.imagelocation.com/image.jpg;;;;;;;<left>, <center>, <right>;;;;;;;;;;;Indented block;;;;;;;;;;;;;;* Bullet #1;* Bullet #2;** SubBullet #1;;;;;;;# Number #1;# Number #2;;;;;;;;;;<dl>;</dl>;;;;;---;;;;;;;
Personal PPC Wiki ;38139;Febuary 2009;Tony Steward;pppcwiki.freehostia.com;Yes;GPL;Basic4PPC (.NET);Files;0;Beta;Personal use;Personal PPC Wiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Personal PPC Wiki ;WM5 (ppc version) Windows XP (desktop Version);No;Built In;.NETCF2;Personal PPC Wiki ;Yes;No;No;No;No;No;No;Simple SQL Lookup;Personal PPC Wiki ;No;No;;No;No;No;No;No;No;Personal PPC Wiki ;;;pppcwiki.bbster.net;pppcwiki.bbster.net;;pppcwiki.bbster.net;;Personal PPC Wiki ;No;No;No;No;None;No;Yes;;Personal PPC Wiki ;;;Not localized;;No;No;;Yes;;;Full Text;Yes;;Personal PPC Wiki ;;Yes;Optional;Yes;No;;;;Personal PPC Wiki ;All;No;complex;No;No;No;No;Yes;No;No;No;No;Yes;No;;Optional;No;Personal PPC Wiki ;No;Yes;No;Yes;No;No;No;Personal PPC Wiki ;No;No;Yes;No;No;Yes;Personal PPC Wiki ;HTML 4;Yes;;Yes;No;No;No;No;No;Optional;Yes;No;No;Personal PPC Wiki ;Yes;No;Yes;;No;;No;Filenames only;Personal PPC Wiki ;No;Yes;No;Yes;No;Personal PPC Wiki ;[PageName];[[pagename][Description]];;;;;;;;;;;[http:\\pagename.com];[[http:\\pagename.com][Description]];;;;;;;;;;;;;;;;;;;*Bold*;;;;;=Italics=;;;;;_Underline_;;;;;;;;;;;;-Strike-;;;;;;;;[$Imagename$];;;;;;;;;;;;;;;;;;>Indent1;>>Ident2;;;;;;;;;;;;;-Bullet1;--Sub Bullet;;;;;;;;#Number List1;##Sub Number List;;;;;;;;;;;;;;;;___;;;;;;;
PhpWiki ;phpwiki-1.3.14;39264;Steve Wainstead, Jeff Dairiki, Reini Urban, Carsten Klapp, Marc-Etienne Vargenau;phpwiki.sourceforge.net;Yes;GPL;PHP;Files, DB, RCS;0;Mature;Any;PhpWiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;PhpWiki ;UNIX, Windows, MacOS X, probably others;No;Apache, IIS, anything with PHP support;various opt. helpers;PhpWiki ;Yes;Yes;Yes;Yes;Yes;Yes;Yes;gdbm, cvs, MSSQL, ... (ADODB, PearDB);PhpWiki ;Yes;Yes;db, session, pop, imap, ldap, file, webserver;No;No;Yes;Yes;Yes;No;PhpWiki ;Yes, 2 listed;No;sf.net;sf.net;sf.net;sf.net;#phpwiki;PhpWiki ;Yes;Yes;Yes;Yes;Unlimited;Between all;Yes;Yes;PhpWiki ;Yes;No;9 languages;German, English, Spanish, French, Italian, Japanese, Dutch, Swedish, Chinese Traditional;Yes;Plugin;Yes;No;Yes;Conflict Resolution;Full Text;Yes;Patch;PhpWiki ;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;PhpWiki ;Some;Plugin;simple + complex;No;No;No;No;No;Plugin;Yes;Yes;Yes;Yes;No;plugins, templates, PHP;Yes;Yes;PhpWiki ;No;Yes;Optional;Yes;Patch;Yes;Yes;PhpWiki ;Yes;Yes;Yes;Yes;Yes;Plugin;PhpWiki ;XHTML 1.0 Transitional;Yes;Print CSS;No;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;PhpWiki ;Yes;Yes;Yes;Yes;No;No;No;No;PhpWiki ;Yes;Yes;Yes;Yes;No;PhpWiki ;WikiWord or [somelink];[ desc | pagename ];;;;;;;;;;;http://someserver/someurl;[ desc | exturl ];;;;;;;!!!Headline1;!!Headline2;!Headline3;;;;;;;;;;*bold* or;<strong>bold</strong>;;;;_italics_ or ;or;<em>italics</em>;;;<u>underlined</u>;;;;<tt>monospace</tt>;<code>code</code>;<pre>preformatted</pre>;<verbatim>;unparsed text</verbatim>;;;;<strike>striked through</strike>;;;;<sup>above</sup>;;<sub>below</sub>;;[ http://foo.org/1.jpg size=30%] ;external image;[Upload:view.jpg align=right size=50x40] ;view uploaded image;[Upload:view.jpg | http://server/external-linkjpg ] ;view and link to another image;;"<?plugin RawHtml <span align=""right""> ?>right<?plugin RawHtml </span> ?>";"or <div align=""right""> right </div>";;;;;;;;;;";: left indent";";;: more left indent";;or ;paragraph;and another level ;;;;;;;;;* list;or;- list;;;;;;;# list;;;;;;;;;;;Term:<def>;def;;;;;----;;;;;;;
PicoWiki ;does not apply;does not apply;Paul Klipp;www.picowiki.com;does not apply;does not apply;does not apply;does not apply;free;does not apply;mobile professionals;PicoWiki ;none;none;none;none;No;No;No;PicoWiki ;does not apply;does not apply;does not apply;does not apply;PicoWiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;PicoWiki ;No;No;does not apply;Yes;No;No;No;No;No;PicoWiki ;;does not apply;does not apply;;info@picowiki.com;by email;;PicoWiki ;Yes;No;No;No;None;No;Yes;No;PicoWiki ;Yes;No;Not localized;;No;No;No;No;No;None;Full Text;does not apply;;PicoWiki ;Yes;Yes;No;No;No;Yes;No;;PicoWiki ;Some;;simple;;Yes;No;No;;No;No;Yes;Yes;No;No;;;;PicoWiki ;No;;No;Yes;Yes;No;No;PicoWiki ;Yes;No;No;No;No;No;PicoWiki ;XHTML 1.0 Transitional;No;;;No;No;No;No;Yes;Yes;Yes;No;No;PicoWiki ;Optional;No;No;No;No;No;No;No;PicoWiki ;;;;;;PicoWiki ;[[Link]];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;*bold*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;----;;;;;;;
Pier ;1.0.10-alpha;;Lukas Renggli;www.lukas-renggli.ch;Yes;MIT;Smalltalk;other;0;;;Pier ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Pier ;Windows, MacOS, Linux, anything Squeak runs on;No;Apache, lighttpd, standalone;Squeak;Pier ;No;No;No;No;No;No;No;XML, Magma, Smalltalk image, ReferenceStream, SmartRefernceStream (ImageSegment);Pier ;Yes;Yes;;;;;;;;Pier ;Yes, 2 listed;No;mc.lukas-renggli.ch;bugs.squeak.org;www.iam.unibe.ch;;;Pier ;No;;;;;;;;Pier ;;Optional;;;No;No;;Yes;Yes;;Full Text;;;Pier ;;;;;;;;;Pier ;All;;simple;No;No;No;No;No;No;No;;;;;;;;Pier ;Patch;;Patch;No;No;Yes;No;Pier ;;;;;;;Pier ;XHTML 1.0 Strict;Yes;;;Yes;;;;;Yes;;;;Pier ;Yes;;;Yes;;;;;Pier ;;;;;;Pier ;+page name+;+link text>page name+;;;;;;;;;;;*http://...*;*link text>http://...*;;;;;;;! text;;;;;;;;;;;;via html;;;;;via html;;;;;via html;;;;= monospace text 1;= monospace text 2;or via html;;;;;;via html;;;;via html;;via html;;via internal link or html;;;;;;;via html;;;;;;;;;;;via html;;;;;;;;;;;;;;- item;;;;;;;;;# item;;;;;;;;;;;via html;;;;;;_ (underline);;;;;;;
Pimki ;1.8.200;2.0-alpha;Assaph Mehr;pimki.rubyforge.org;Yes;Ruby's;Ruby;Database;Free;Mature;Personal wiki / small groups;Pimki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Pimki ;any;No;WEBrick / Mongrel / LigHTTP / Apache;Ruby 1.8.4 +;Pimki ;No;Yes;Yes;Yes;Yes;;No;Pimki 1.x uses Madeleine (binary files). Pimki2 uses SQL databased (SQLite primarily);Pimki ;No;;;Optional;No;No;Optional;No;;Pimki ;No;No;rubyforge.org;rubyforge.org;rubyforge.org;;;Pimki ;No;Yes;No;Yes;Unlimited;Between all;Yes;;Pimki ;Yes;Yes;Not localized;;No;No;Yes;Yes;Yes;Page Locking;Full Text;;;Pimki ;Yes;Yes;Yes;Yes;;Yes;;;Pimki ;All;Optional;simple;;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;;;Yes;No;Pimki ;No;;Yes;No;No;Yes;No;Pimki ;Yes;Yes;Yes;No;No;;Pimki ;XHTML 1.1;Yes;Print View;;Yes;Yes;;Yes;No;Yes;Yes;No;Optional;Pimki ;Patch;No;No;No;No;Yes;Yes;Filenames only;Pimki ;;;;;;Pimki ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PmWiki ;43498;40492;Patrick R. Michaud;www.pmwiki.org;Yes;GPL2;PHP;Files;0;Mature;All;PmWiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;PmWiki ;UNIX, Windows, MacOS X, probably others;No;Apache, IIS, anything with PHP support. Can also be run w/o a webserver.;none;PmWiki ;Yes;Plugin;No;No;Plugin;No;No;Can provide custom data backends;PmWiki ;Yes;Yes;.htpasswd, LDAP, Active Directory, MySQL, (custom available);Optional;Plugin;Yes;Optional;Plugin;No;PmWiki ;Yes, 7 listed;Yes;svn://pmwiki.org/pmwiki/tags/latest;www.pmwiki.org;www.pmichaud.com;www.pmichaud.com;#pmwiki on irc.freenode.net;PmWiki ;Yes;Yes;Yes;Yes;Unlimited;Between all;Yes;Yes;PmWiki ;Yes;;27 languages;Breton, Catalan, Danish, Greek, English, Esperanto, Spanish, Persian, Finnish, French, Hungarian, Italian, Japanese, Lithuanian, Macedonian, Dutch, Norwegian, Polish, Portuguese, Romanian, Russian, Sinhalese, Slovak, Swedish, Tamil, Turkish, Vietnamese;Optional;Plugin;Yes;Yes;Yes;Conflict Resolution;Full Text;Yes;Yes;PmWiki ;Optional;Yes;Yes;Yes;No;Yes;Yes;Yes;PmWiki ;Plugin;Plugin;simple + complex;Optional;Plugin;No;No;Plugin;Plugin;Plugin;Plugin;Yes;Yes;Yes;Plugin;Yes;Plugin;PmWiki ;Plugin;Yes;Plugin;Yes;Plugin;Yes;Yes;PmWiki ;Yes;Optional;Optional;No;Plugin;Plugin;PmWiki ;XHTML 1.0 Transitional;Yes;Print View;Plugin;Yes;Yes;Yes;Plugin;Plugin;Yes;Plugin;Plugin;Plugin;PmWiki ;Optional;Optional;Plugin;Plugin;Plugin;Plugin;;No;PmWiki ;Plugin;Plugin;Plugin;Plugin;Plugin;PmWiki ;[[page name]];[[page name | link text]];[[link text -> page name]];[[page name #anchor]];;;;;;;;;http://....;[[http://... | link text]];[[link text -> http://...]];;;;;;! Level 1;!! Level 2;!!! Level 3;;;;;;;;;;'''bold''';;;;;''italic'';;;;;{+underlined+};;;;@@monospace@@;;;;;;;;{-strikethrough-};;;;'^superscript^';;'_subscript_';;http://foo.bar/foo.jpg;Attach:foo.jpg;;;;;;%center% centered text;%right% right aligned;;;;;;;;;;-> indented text;;;;;;;;;;;;;;* Item 1;** Item 1.1;* Item 2;;;;;;;# Item 1;## Item 1.1;# Item 2;;;;;;;;;: term : definition;;;;;;----;;;;;;;
PodWiki ;0.9.1;39126;Thomas Linden;www.daemon.de;Yes;GPL;Perl;Files, RCS;GPL / none;Mature;average to advanced users;PodWiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;PodWiki ;Unix;No;apache;mod_rewrite optional;PodWiki ;Yes;No;No;No;No;No;Yes;perl Storable(v0.7) for users, attributes and stuff;PodWiki ;Yes;Yes;builtin;No;Yes;No;No;Yes;No;PodWiki ;No;No;sourceforge.net;sourceforge.net;sourceforge.net;daemon.de;#49;PodWiki ;Yes;No;No;Yes;Unlimited;Between all;Optional;;PodWiki ;No;No;Not localized;;No;Threaded;Yes;No;No;Page Locking;Full Text;;;PodWiki ;Yes;Yes;Yes;Yes;No;Yes;No;;PodWiki ;Plugin;No;simple + complex;Yes;No;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Perl;Yes;Yes;PodWiki ;No;;No;Yes;No;No;No;PodWiki ;Yes;No;No;Yes;No;No;PodWiki ;HTML 4;Yes;Print View;;Yes;Optional;No;Yes;Yes;Yes;No;No;No;PodWiki ;Yes;No;Optional;Optional;No;No;No;No;PodWiki ;;;;;;PodWiki ;POD:;L<Sandbox>;L<Link Description|Sandbox>;;Creole:;[[Sandbox]];[[Sandbox|Link Description]];;BBcode:;[url]Sandbox[/url];[url=Sandbox]Link Description[/url];;L<http://www.daemon.de>;;;;;;;;#NAME?;;;;;;;;;;;;B<bold>;;;;;I<italics>;;;;;via html only;;;;put a space in front of monospaced text;;;;;;;;via html only;;;;via html only;;via html only;;G<logo.png>;;;;;;;via stylesheet only;;;;;;;;;;;via stylesheet only;;;;;;;;;;;;;;#NAME?;;#NAME?;;#NAME?;;;;;#NAME?;;=item 1. listitem;;#NAME?;;;;;;;via html only;;;;;;---;;;;;;;
Portili Team Wiki ;41640;40072;Portili Team;portili.com;No;Commercial;PHP;Database;Enterprise: $339, Single User: FREE;Mature;Any team project - very intuitive product;Portili Team Wiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Portili Team Wiki ;Linux, Window, Mac OS X, probably others;;Standard Linux Webserver (eg. WAMP, MAMP, XAMP);PHP (version 5);Portili Team Wiki ;No;Yes;No;No;No;No;No;;Portili Team Wiki ;Yes;Yes;Intuitive user/group management;No;No;No;No;No;No;Portili Team Wiki ;No;No;;;;portili.com;;Portili Team Wiki ;Yes;No;No;No;None;No;Yes;No;Portili Team Wiki ;No;No;Not localized;;No;Flat;No;No;No;None;Full Text;No;No;Portili Team Wiki ;No;Yes;No;No;No;Yes;;No;Portili Team Wiki ;Some;No;simple;No;No;No;No;No;No;No;No;No;Yes;No;;No;No;Portili Team Wiki ;No;No;Yes;Yes;Yes;No;No;Portili Team Wiki ;No;No;No;No;No;No;Portili Team Wiki ;XHTML 1.0 Strict;Yes;Print View;No;No;No;No;No;No;No;No;No;No;Portili Team Wiki ;Yes;No;Yes;Yes;No;No;No;No;Portili Team Wiki ;No;No;No;No;No;Portili Team Wiki ;Use rich text editor toolbar;;;;;;;;;;;;Use rich text editor toolbar;;;;;;;;Use rich text editor toolbar;;;;;;;;;;;;Use rich text editor toolbar;;;;;Use rich text editor toolbar;;;;;Use rich text editor toolbar;;;;"select the ""code"" style from rich text editor toolbar";;;;;;;;Use rich text editor toolbar;;;;Use rich text editor toolbar;;Use rich text editor toolbar;;Use rich text editor toolbar;;;;;;;Use rich text editor toolbar;;;;;;;;;;;Use rich text editor toolbar;;;;;;;;;;;;;;Use rich text editor toolbar;;;;;;;;;Use rich text editor toolbar;;;;;;;;;;;;;;;;;Use rich text editor toolbar;;;;;;;
